avg_quiz_score,attempts_per_topic,days_since_last_revision,quiz_score_variance,time_spent_per_question,mastered
0.6,4,11,0.05,23.5,0
0.19,4,14,0.12,34.7,0
0.23,7,23,0.17,31.6,0
0.62,8,3,0.04,34.1,0
0.75,9,7,0.09,41.8,1
0.68,7,16,0.0,45.3,0
0.73,8,17,0.04,40.6,0
0.51,5,2,0.11,86.4,0
0.62,4,0,0.06,33.3,0
0.27,1,2,0.18,64.1,0
0.68,4,7,0.06,37.3,1
0.82,3,14,0.08,10.0,1
0.69,3,29,0.03,52.1,0
0.71,8,3,0.09,32.6,1
0.74,8,12,0.0,35.0,1
0.42,6,29,0.15,68.2,0
0.45,4,10,0.16,86.8,0
0.29,4,25,0.19,71.1,0
0.36,6,8,0.02,29.0,0
0.53,6,10,0.0,55.1,0
0.36,6,6,0.11,49.1,0
0.65,5,19,0.11,28.1,0
0.8,1,23,0.0,20.7,0
0.26,9,0,0.2,55.1,0
0.45,7,6,0.15,19.3,0
0.38,4,0,0.18,61.6,0
0.09,1,14,0.17,67.2,0
0.3,4,22,0.18,36.1,0
0.04,2,19,0.15,42.8,0
0.14,7,29,0.14,43.9,0
0.82,4,3,0.09,51.9,1
0.51,9,16,0.14,22.2,0
0.77,3,11,0.05,25.8,1
0.32,8,1,0.01,55.4,0
0.58,6,6,0.14,19.6,0
0.46,9,3,0.15,34.9,0
0.28,4,24,0.14,84.5,0
0.81,5,29,0.13,52.2,0
0.69,7,7,0.12,69.1,0
0.52,4,26,0.15,51.2,0
0.62,5,29,0.15,39.6,0
0.05,9,27,0.16,29.2,0
0.76,4,12,0.18,13.0,1
0.61,6,2,0.15,45.5,0
0.48,7,2,0.04,40.1,0
0.46,8,16,0.11,44.5,0
0.47,9,1,0.16,24.6,0
0.55,8,25,0.09,38.6,0
0.45,9,28,0.25,42.2,0
0.45,1,28,0.11,29.3,0
0.48,9,25,0.15,33.2,0
0.3,4,12,0.23,61.4,0
0.32,8,9,0.16,45.6,0
0.76,8,10,0.07,36.6,1
0.46,5,16,0.13,56.6,0
0.25,8,29,0.14,45.1,0
0.59,9,17,0.1,33.4,0
0.43,9,26,0.03,63.2,0
0.19,1,18,0.14,49.8,0
0.19,1,28,0.14,60.8,0
0.69,8,24,0.01,44.3,0
0.66,2,14,0.12,17.9,0
1.0,3,20,0.0,10.0,1
0.52,4,21,0.05,48.3,0
0.22,2,14,0.1,52.1,0
0.45,9,18,0.11,47.2,0
0.76,7,17,0.16,44.1,0
0.53,4,6,0.15,37.1,0
0.6,4,8,0.08,33.8,0
0.45,5,14,0.15,66.6,0
0.45,5,11,0.2,80.4,0
0.52,6,23,0.15,23.1,0
0.46,9,23,0.1,20.3,0
0.55,2,3,0.11,42.3,0
0.59,6,11,0.13,61.0,0
0.38,5,22,0.13,55.7,0
0.2,2,23,0.15,42.7,0
0.72,4,7,0.12,19.9,1
0.17,4,29,0.06,69.5,0
0.19,4,24,0.12,45.2,0
0.15,3,28,0.14,80.9,0
0.75,6,13,0.0,40.4,1
0.26,4,11,0.05,58.5,0
0.87,3,4,0.13,26.2,1
0.53,6,0,0.11,52.9,0
0.64,5,15,0.12,45.3,0
0.56,7,17,0.16,57.3,0
0.44,9,14,0.11,43.1,0
0.7,4,10,0.09,62.4,1
0.54,6,1,0.13,57.9,0
0.59,7,22,0.0,19.2,0
0.5,7,1,0.13,43.2,0
0.68,5,16,0.14,51.2,0
0.7,7,6,0.02,44.4,1
0.59,9,9,0.04,37.5,0
0.32,3,28,0.23,30.7,0
0.6,7,17,0.19,31.6,0
0.31,4,22,0.14,56.7,0
0.38,4,29,0.21,32.5,0
0.08,2,16,0.13,78.2,0
0.34,8,8,0.06,60.5,0
0.27,4,5,0.06,54.7,0
0.43,6,7,0.07,22.7,0
0.61,5,15,0.05,42.2,0
0.54,4,5,0.11,57.8,0
0.62,7,13,0.13,53.2,0
0.39,4,22,0.05,33.8,0
0.41,4,2,0.14,53.3,0
0.4,8,1,0.17,41.8,0
0.26,1,5,0.14,55.7,0
0.63,7,17,0.09,43.4,0
0.22,3,10,0.15,42.3,0
0.36,7,7,0.19,60.0,0
0.89,2,19,0.03,20.4,1
0.64,1,21,0.02,35.6,0
0.17,1,27,0.18,42.2,0
0.36,3,5,0.07,32.7,0
0.2,2,9,0.13,27.9,0
0.23,9,27,0.17,44.4,0
0.69,4,18,0.13,52.1,0
0.34,6,21,0.17,54.6,0
0.08,2,8,0.12,42.3,0
0.72,9,15,0.07,53.7,0
0.34,7,19,0.06,17.1,0
0.45,8,22,0.07,58.4,0
0.44,7,21,0.11,72.0,0
0.46,6,22,0.13,45.8,0
0.29,6,4,0.15,46.9,0
0.55,8,2,0.12,38.1,0
0.75,6,8,0.01,61.3,1
0.69,3,25,0.0,39.5,0
0.51,8,16,0.04,61.4,0
0.16,4,23,0.11,65.5,0
0.56,9,11,0.11,62.7,0
0.38,8,22,0.09,44.3,0
0.67,9,3,0.03,55.5,1
0.53,7,15,0.0,59.2,0
0.77,2,12,0.07,64.1,1
0.21,7,4,0.2,47.0,0
0.46,7,27,0.08,48.7,0
0.46,8,2,0.06,31.2,0
0.79,9,23,0.06,36.2,0
0.51,5,14,0.09,24.4,0
0.29,4,4,0.13,38.6,0
0.33,4,24,0.19,36.9,0
0.44,4,1,0.13,58.3,0
0.47,2,9,0.08,20.4,0
0.3,4,18,0.14,40.1,0
0.5,7,23,0.17,44.6,0
0.65,7,7,0.07,50.4,0
0.24,3,18,0.2,44.9,0
0.49,8,14,0.19,38.6,0
0.65,9,2,0.14,33.7,0
0.57,8,4,0.12,42.9,0
0.67,7,0,0.13,27.6,0
0.42,6,3,0.06,40.1,0
0.69,7,8,0.11,45.3,0
0.83,2,19,0.03,24.2,0
0.61,9,29,0.12,55.4,0
0.61,7,19,0.06,28.5,0
0.69,7,14,0.1,36.5,0
0.83,1,5,0.06,47.4,1
0.71,9,29,0.0,30.6,0
0.51,4,9,0.12,50.2,0
0.57,4,13,0.11,58.9,0
0.5,7,2,0.14,36.7,0
0.39,4,13,0.2,59.2,0
0.18,9,4,0.13,42.3,0
0.48,4,16,0.11,45.1,0
0.52,6,27,0.13,44.7,0
0.31,4,5,0.13,82.4,0
0.32,8,2,0.02,20.0,0
0.2,1,16,0.12,68.3,0
0.55,4,6,0.06,54.4,0
0.35,8,11,0.03,27.0,0
0.56,7,12,0.08,31.7,0
0.31,7,27,0.1,33.8,0
0.53,8,10,0.03,65.0,0
0.76,3,26,0.08,42.8,0
0.55,6,25,0.08,86.3,0
0.77,7,20,0.01,34.9,0
0.8,3,15,0.01,10.0,0
0.58,8,19,0.08,28.6,0
0.88,3,16,0.0,32.4,1
0.62,8,21,0.06,47.8,0
0.57,1,4,0.04,11.6,0
0.35,4,12,0.13,49.5,0
0.12,8,9,0.2,47.6,0
0.36,6,27,0.01,57.2,0
0.7,6,24,0.12,45.1,0
0.38,9,12,0.15,61.4,0
0.64,4,15,0.01,39.2,0
0.89,9,10,0.06,24.4,1
0.42,6,14,0.08,62.9,0
0.53,4,5,0.04,60.5,0
0.24,9,21,0.18,67.0,0
0.79,9,6,0.04,27.0,1
0.32,8,8,0.14,58.1,0
0.43,7,2,0.06,44.2,0
0.56,8,15,0.16,49.4,0
0.26,5,27,0.04,47.6,0
0.54,6,6,0.06,42.4,0
0.85,2,29,0.09,18.9,0
0.5,5,19,0.08,60.9,0
0.51,7,17,0.01,51.7,0
0.71,4,25,0.08,41.5,0
0.2,7,10,0.07,41.2,0
0.49,7,12,0.09,46.0,0
0.47,4,12,0.15,49.8,0
0.44,4,18,0.09,36.4,0
0.52,9,4,0.06,40.5,0
0.63,6,3,0.15,55.1,0
0.57,7,0,0.09,59.0,0
0.63,2,14,0.12,40.2,0
0.42,9,23,0.23,10.0,0
0.38,4,26,0.11,53.4,0
0.37,8,6,0.18,28.9,0
0.17,6,7,0.17,61.0,0
0.51,8,25,0.09,54.8,0
0.5,7,25,0.14,36.2,0
0.38,8,27,0.15,48.9,0
0.29,4,17,0.18,65.4,0
0.38,8,29,0.13,24.1,0
0.15,9,7,0.14,66.3,0
0.51,6,22,0.14,49.7,0
0.48,6,16,0.17,33.5,0
0.43,7,6,0.15,28.2,0
0.41,7,9,0.13,60.0,0
0.31,8,9,0.23,36.0,0
0.53,4,29,0.12,34.9,0
0.0,4,0,0.12,67.7,0
0.7,8,20,0.16,48.6,0
0.63,7,7,0.0,54.3,0
0.39,4,2,0.07,26.1,0
0.29,4,1,0.22,39.0,0
0.71,8,8,0.0,54.0,1
0.31,6,18,0.09,31.3,0
0.36,5,24,0.09,37.7,0
0.55,8,22,0.06,62.9,0
0.52,4,21,0.04,57.5,0
0.71,1,16,0.01,41.4,0
0.59,6,25,0.11,40.9,0
0.47,9,16,0.05,27.7,0
0.67,4,3,0.0,42.3,1
0.33,6,0,0.2,40.1,0
0.43,9,24,0.08,51.3,0
0.66,9,15,0.15,52.8,0
0.26,1,0,0.21,48.3,0
0.38,1,18,0.06,43.4,0
0.36,6,19,0.14,52.6,0
0.52,5,1,0.06,45.3,0
0.61,3,2,0.08,13.6,0
0.51,6,14,0.09,23.2,0
0.62,9,5,0.17,64.6,0
0.58,4,1,0.11,21.0,0
0.36,4,8,0.14,72.1,0
0.54,5,5,0.14,32.7,0
0.25,8,18,0.0,41.1,0
0.53,7,20,0.06,56.7,0
0.41,5,2,0.1,32.6,0
0.43,3,18,0.17,58.1,0
0.11,3,9,0.11,53.1,0
0.38,7,8,0.1,59.0,0
0.96,6,10,0.05,40.2,1
0.42,6,14,0.09,55.4,0
0.87,1,14,0.1,39.8,1
0.58,7,24,0.0,68.9,0
0.55,8,9,0.04,41.3,0
0.31,9,21,0.27,50.2,0
0.4,9,22,0.05,25.1,0
0.46,4,4,0.14,57.8,0
0.31,5,1,0.19,56.2,0
0.88,2,29,0.0,22.5,1
0.6,5,28,0.18,11.1,0
0.31,8,28,0.23,49.3,0
0.52,5,16,0.0,43.4,0
0.57,8,27,0.15,67.5,0
0.58,4,8,0.0,44.2,0
0.35,6,24,0.12,49.1,0
0.39,8,21,0.17,40.5,0
0.15,4,3,0.2,76.5,0
0.68,3,14,0.09,70.6,0
0.95,1,19,0.0,57.1,1
0.6,7,15,0.02,33.4,0
0.4,1,11,0.15,75.0,0
0.59,6,15,0.11,27.3,0
0.85,5,29,0.09,37.9,0
0.16,4,26,0.06,38.1,0
0.25,7,23,0.12,54.0,0
0.63,9,23,0.02,18.7,0
0.46,8,10,0.13,51.6,0
0.53,6,16,0.1,61.6,0
0.46,8,3,0.17,55.5,0
0.58,8,1,0.18,74.0,0
0.69,3,4,0.08,34.7,0
0.23,2,10,0.12,69.5,0
0.38,6,8,0.05,47.6,0
0.59,4,21,0.13,53.6,0
0.32,5,10,0.2,58.0,0
0.55,8,5,0.11,46.7,0
0.31,6,19,0.12,37.7,0
0.36,4,16,0.11,39.0,0
0.47,9,20,0.07,41.9,0
0.55,9,4,0.15,19.8,0
0.24,4,28,0.1,62.5,0
0.44,8,29,0.15,48.2,0
0.9,6,9,0.13,38.6,1
0.79,5,6,0.08,50.0,1
0.22,1,18,0.08,10.0,0
0.3,9,12,0.13,74.3,0
0.41,4,5,0.16,34.2,0
0.53,8,29,0.19,43.6,0
0.52,6,28,0.04,61.3,0
0.42,9,9,0.16,43.9,0
0.57,4,23,0.11,24.2,0
0.53,6,22,0.12,31.2,0
0.88,1,15,0.1,31.7,0
0.37,5,19,0.15,43.0,0
0.7,4,12,0.05,52.4,1
0.49,4,18,0.14,28.7,0
0.47,9,12,0.05,75.8,0
0.25,3,1,0.09,38.0,0
0.42,5,19,0.16,61.2,0
0.66,2,22,0.1,52.0,0
0.76,5,11,0.12,33.0,1
0.36,4,23,0.08,60.7,0
0.71,5,2,0.03,50.2,1
0.22,5,11,0.18,44.4,0
0.35,5,19,0.17,40.5,0
0.68,5,13,0.02,56.5,1
0.44,8,22,0.13,43.0,0
0.28,6,12,0.11,43.5,0
0.59,5,11,0.11,40.1,0
0.71,8,22,0.03,12.4,0
0.39,4,16,0.13,38.6,0
0.56,9,14,0.1,45.8,0
0.34,6,1,0.05,40.9,0
0.57,4,14,0.05,44.0,0
0.44,6,25,0.07,59.4,0
0.45,7,13,0.19,40.7,0
0.39,7,1,0.03,47.1,0
0.3,1,5,0.12,62.0,0
0.74,6,29,0.13,47.8,0
0.59,5,8,0.09,46.4,0
0.61,6,3,0.14,52.1,0
0.42,4,10,0.18,65.8,0
0.33,6,14,0.14,26.7,0
0.42,5,8,0.04,71.9,0
0.43,6,11,0.08,51.5,0
0.56,5,6,0.0,56.7,0
0.57,9,28,0.06,23.2,0
0.32,9,2,0.0,59.0,0
0.59,8,19,0.16,57.1,0
0.62,9,22,0.07,39.7,0
0.49,4,5,0.01,34.5,0
0.54,9,1,0.04,76.5,0
0.27,5,24,0.14,52.0,0
0.52,1,6,0.06,71.7,0
0.38,5,3,0.13,35.6,0
0.59,5,0,0.09,54.0,0
0.6,7,15,0.05,28.2,0
0.45,7,24,0.09,47.6,0
0.31,2,4,0.22,34.8,0
0.74,9,21,0.13,52.2,0
0.7,4,19,0.12,45.4,0
0.48,6,5,0.09,39.9,0
0.56,4,19,0.05,40.3,0
0.55,8,18,0.14,26.6,0
0.57,7,28,0.08,10.0,0
0.73,1,5,0.0,62.1,1
0.51,7,3,0.13,47.7,0
0.62,7,21,0.05,75.9,0
0.4,8,18,0.06,29.2,0
0.56,6,5,0.12,61.2,0
0.17,3,21,0.16,58.5,0
0.82,1,21,0.12,23.4,0
0.63,8,14,0.1,12.0,0
0.53,9,16,0.07,55.0,0
0.46,5,17,0.1,77.1,0
0.55,5,0,0.02,16.1,0
0.56,9,7,0.03,50.4,0
0.59,6,27,0.12,30.2,0
0.38,9,3,0.13,48.9,0
0.48,7,6,0.14,33.1,0
0.4,4,29,0.17,28.8,0
0.22,3,11,0.13,45.5,0
0.44,8,26,0.05,43.5,0
0.24,1,26,0.15,70.7,0
0.37,3,21,0.14,45.3,0
0.66,8,2,0.04,25.2,0
0.31,5,20,0.03,43.6,0
0.49,8,0,0.19,31.3,0
0.93,2,25,0.06,37.6,1
0.58,4,13,0.09,59.8,0
0.54,6,19,0.17,38.1,0
0.46,9,19,0.05,53.8,0
0.53,5,12,0.08,63.9,0
0.61,9,0,0.08,38.0,0
0.84,3,19,0.0,43.9,0
0.41,9,2,0.14,11.9,0
0.39,6,12,0.18,55.9,0
0.68,5,15,0.1,69.9,0
0.11,3,12,0.09,54.4,0
0.4,4,10,0.09,86.7,0
0.24,3,23,0.22,39.8,0
0.62,4,22,0.13,58.2,0
0.3,3,7,0.12,45.7,0
0.73,6,27,0.02,25.6,0
0.22,4,16,0.07,31.8,0
0.43,5,8,0.08,51.5,0
0.65,8,27,0.03,14.6,0
0.56,9,24,0.14,47.8,0
0.5,4,9,0.18,52.5,0
0.38,2,14,0.07,30.5,0
0.42,7,24,0.07,26.2,0
0.38,4,26,0.16,85.0,0
0.38,9,16,0.18,31.0,0
0.29,4,29,0.2,49.3,0
0.46,4,7,0.13,48.9,0
0.29,3,22,0.14,49.3,0
0.6,7,16,0.14,19.7,0
0.77,4,17,0.03,56.4,0
0.46,6,1,0.13,61.1,0
0.35,9,28,0.15,51.4,0
0.19,1,26,0.15,43.7,0
0.33,8,10,0.12,18.5,0
0.42,5,24,0.15,32.3,0
0.56,4,21,0.09,21.8,0
0.52,9,0,0.14,51.5,0
0.36,2,17,0.14,66.9,0
0.47,4,23,0.13,53.5,0
0.76,2,13,0.06,50.2,1
0.39,9,5,0.1,63.1,0
0.56,6,8,0.07,10.4,0
0.75,5,24,0.01,24.9,0
0.28,1,28,0.13,32.1,0
0.54,6,11,0.1,43.9,0
0.63,5,11,0.07,29.4,0
0.39,1,5,0.13,72.0,0
0.44,7,24,0.09,52.7,0
0.24,2,25,0.12,72.5,0
0.6,5,6,0.17,50.2,0
0.43,5,3,0.07,53.5,0
0.35,4,14,0.23,80.6,0
0.75,5,22,0.1,34.4,0
0.35,8,7,0.08,67.4,0
0.7,4,3,0.04,50.6,1
0.23,7,8,0.11,51.3,0
0.32,7,18,0.13,27.5,0
0.71,6,16,0.11,48.2,0
0.64,1,19,0.11,33.1,0
0.38,9,28,0.09,47.0,0
0.96,2,6,0.07,17.0,1
0.21,5,11,0.07,57.3,0
0.37,5,12,0.07,47.0,0
0.59,6,7,0.14,45.8,0
0.3,2,15,0.11,45.8,0
0.34,6,2,0.17,31.2,0
0.6,8,5,0.1,31.2,0
0.83,9,22,0.1,26.5,0
0.59,8,24,0.17,67.7,0
0.59,5,10,0.04,34.7,0
0.5,5,3,0.08,14.6,0
0.31,8,29,0.14,43.0,0
0.03,3,18,0.12,48.1,0
0.56,9,17,0.0,21.5,0
0.28,5,22,0.05,51.8,0
0.21,2,19,0.1,48.5,0
0.77,1,10,0.04,30.2,1
0.66,4,4,0.05,61.4,0
0.45,4,4,0.15,33.2,0
0.47,6,1,0.08,48.4,0
0.82,3,14,0.11,46.4,1
0.5,8,23,0.08,59.1,0
0.55,4,28,0.14,34.8,0
0.22,6,26,0.14,41.5,0
0.78,4,21,0.07,37.1,0
0.54,5,9,0.17,28.3,0
0.7,2,3,0.0,11.9,1
0.34,5,28,0.19,44.2,0
0.54,8,14,0.05,22.2,0
0.64,1,2,0.04,27.4,0
0.66,5,14,0.08,17.8,0
0.37,7,12,0.0,49.2,0
0.29,8,25,0.18,48.4,0
0.56,8,4,0.0,44.5,0
0.46,8,1,0.12,38.4,0
0.45,8,26,0.1,22.9,0
0.54,7,18,0.02,47.6,0
0.8,2,24,0.0,39.9,0
0.39,7,4,0.17,56.9,0
0.78,1,2,0.06,26.6,1
0.46,2,22,0.18,48.2,0
0.24,2,14,0.16,48.6,0
0.7,8,23,0.07,35.8,0
0.45,4,22,0.13,51.1,0
0.59,9,19,0.08,45.5,0
0.46,6,21,0.05,34.5,0
0.58,7,1,0.13,26.8,0
0.41,6,18,0.12,35.3,0
0.64,9,28,0.05,11.6,0
0.42,4,1,0.19,47.1,0
0.31,3,17,0.16,49.8,0
0.44,9,28,0.04,39.2,0
0.26,7,19,0.09,51.5,0
0.49,7,3,0.06,17.3,0
0.58,7,13,0.07,28.3,0
0.36,4,27,0.1,44.5,0
0.77,6,9,0.19,57.1,1
0.42,6,9,0.03,36.4,0
0.64,8,19,0.04,26.8,0
0.4,9,19,0.14,51.0,0
0.4,7,4,0.1,61.4,0
0.59,5,5,0.08,16.4,0
0.57,6,6,0.15,44.0,0
0.39,9,20,0.17,37.9,0
0.56,8,6,0.11,40.9,0
0.63,9,0,0.11,51.0,0
0.82,3,18,0.04,28.1,0
0.52,8,13,0.06,19.4,0
0.27,2,26,0.15,43.6,0
0.74,6,26,0.05,40.7,0
0.65,9,19,0.11,50.4,0
0.87,5,19,0.0,50.9,1
0.46,8,0,0.12,64.8,0
0.7,3,9,0.07,48.0,1
0.32,9,25,0.16,54.0,0
0.33,4,23,0.26,52.5,0
0.76,3,23,0.08,30.6,0
0.48,5,15,0.18,45.6,0
0.47,4,10,0.03,54.1,0
0.77,1,8,0.0,40.6,1
0.29,4,21,0.11,30.8,0
0.6,8,20,0.16,32.9,0
0.35,5,6,0.18,35.0,0
0.3,9,15,0.06,27.0,0
0.63,7,11,0.0,51.9,0
0.51,7,28,0.14,40.9,0
0.55,5,6,0.04,38.9,0
0.79,9,24,0.05,53.2,0
0.82,1,29,0.02,56.7,0
0.54,4,12,0.2,28.1,0
0.57,8,23,0.16,24.5,0
0.17,9,2,0.17,25.3,0
0.74,4,1,0.02,43.9,1
0.61,7,14,0.08,53.2,0
0.24,5,8,0.13,83.3,0
0.59,5,9,0.04,36.7,0
0.61,4,29,0.01,55.5,0
0.68,4,13,0.11,57.7,0
0.52,9,6,0.1,30.4,0
0.43,5,9,0.16,46.9,0
0.36,5,9,0.12,55.7,0
0.64,6,11,0.06,17.2,0
0.38,2,4,0.15,75.2,0
0.41,3,9,0.15,45.0,0
0.3,5,25,0.17,34.1,0
0.5,8,8,0.16,24.8,0
0.35,7,26,0.18,32.5,0
0.63,9,1,0.02,47.0,0
0.68,8,28,0.0,43.4,0
0.9,9,0,0.03,53.8,1
0.53,8,24,0.02,52.5,0
0.75,5,9,0.05,74.0,1
0.28,5,27,0.13,51.1,0
0.77,5,15,0.01,24.9,0
0.44,4,25,0.07,10.5,0
0.05,2,8,0.17,10.0,0
0.17,3,24,0.28,63.5,0
0.5,4,25,0.09,25.5,0
0.46,6,8,0.06,23.7,0
0.16,4,0,0.11,62.7,0
0.68,4,13,0.07,46.5,0
0.35,7,17,0.17,23.7,0
0.56,7,29,0.19,48.9,0
0.27,8,1,0.09,27.6,0
0.46,6,23,0.2,46.7,0
0.64,6,18,0.12,27.6,0
0.51,8,2,0.09,23.4,0
0.89,6,1,0.09,63.0,1
0.8,2,5,0.1,27.2,1
0.39,5,27,0.08,51.1,0
0.77,2,17,0.0,24.9,0
0.43,5,7,0.13,38.6,0
0.52,5,5,0.0,44.3,0
0.46,6,22,0.02,62.4,0
0.23,6,9,0.15,33.3,0
0.56,6,14,0.16,28.8,0
0.73,8,10,0.07,47.1,1
0.55,5,4,0.17,71.5,0
0.53,8,10,0.12,68.0,0
0.58,4,6,0.05,41.2,0
0.16,2,7,0.11,67.2,0
0.49,5,16,0.16,44.3,0
0.33,4,20,0.15,52.0,0
0.4,9,8,0.2,43.0,0
0.5,6,20,0.06,23.1,0
0.5,6,10,0.13,34.5,0
0.63,4,29,0.05,47.9,0
0.4,7,28,0.1,49.3,0
0.37,1,8,0.2,59.8,0
0.76,8,24,0.1,63.7,0
0.74,9,17,0.11,26.2,0
0.76,2,22,0.0,20.1,0
0.12,5,5,0.17,45.3,0
0.31,4,24,0.16,40.8,0
0.62,7,17,0.08,26.1,0
0.6,4,26,0.14,52.1,0
0.44,9,10,0.22,60.6,0
0.2,4,2,0.18,46.0,0
0.32,3,26,0.15,40.0,0
0.78,4,20,0.07,51.4,0
0.69,9,19,0.06,38.3,0
0.53,4,19,0.03,17.1,0
0.36,2,27,0.19,31.9,0
0.45,9,14,0.14,68.2,0
0.64,8,12,0.15,38.7,0
0.39,6,25,0.23,64.8,0
0.72,4,18,0.03,42.2,0
0.5,6,26,0.1,37.3,0
0.67,5,3,0.1,25.4,0
0.51,4,15,0.11,69.8,0
0.36,6,13,0.09,52.5,0
0.62,3,29,0.11,30.9,0
0.45,8,10,0.18,21.6,0
0.1,3,12,0.2,61.1,0
0.72,4,18,0.0,45.0,0
0.73,2,3,0.03,34.4,1
0.84,4,8,0.12,43.8,1
0.7,3,9,0.09,41.3,1
0.59,5,7,0.07,30.6,0
0.37,4,28,0.11,75.2,0
0.83,2,23,0.1,28.6,0
0.39,9,13,0.19,64.0,0
0.64,5,19,0.0,54.8,0
0.49,5,25,0.04,17.6,0
0.5,7,7,0.12,74.4,0
0.81,3,0,0.01,25.0,1
0.4,5,14,0.14,66.5,0
0.36,4,25,0.08,32.0,0
0.39,4,14,0.18,46.4,0
0.79,3,0,0.01,55.1,1
0.47,8,20,0.23,57.1,0
0.27,6,28,0.17,55.1,0
0.55,8,28,0.1,14.4,0
0.49,5,0,0.02,60.7,0
0.31,8,12,0.07,49.0,0
0.62,4,26,0.0,50.9,0
0.36,1,22,0.18,57.5,0
0.39,4,12,0.14,46.0,0
0.41,6,20,0.04,67.3,0
0.77,2,3,0.03,62.3,1
0.22,3,16,0.16,54.2,0
0.48,9,9,0.09,62.5,0
0.47,4,12,0.1,41.1,0
0.15,2,8,0.11,50.3,0
0.51,6,10,0.14,41.5,0
0.71,5,17,0.09,41.4,0
0.49,6,18,0.06,53.6,0
0.63,9,26,0.06,50.6,0
0.4,7,8,0.13,42.0,0
0.42,5,20,0.02,80.2,0
0.67,9,0,0.09,38.1,0
0.13,6,13,0.17,28.8,0
0.47,6,29,0.09,75.1,0
0.71,1,29,0.0,39.1,0
0.5,9,4,0.0,36.0,0
0.7,2,17,0.04,36.2,0
0.32,6,18,0.04,21.9,0
0.46,6,26,0.17,33.9,0
0.59,7,17,0.04,53.1,0
0.58,5,12,0.01,53.0,0
0.85,7,8,0.08,47.6,1
0.81,1,26,0.07,31.6,0
0.29,4,25,0.23,47.7,0
0.35,2,14,0.25,39.9,0
0.47,7,19,0.08,13.7,0
0.27,4,9,0.15,23.9,0
0.59,5,5,0.04,50.7,0
0.83,2,28,0.15,42.6,0
0.73,3,27,0.06,17.5,0
0.61,6,15,0.0,38.7,0
0.6,9,9,0.08,55.1,0
0.34,1,24,0.19,40.9,0
0.65,4,1,0.06,53.3,0
0.51,7,5,0.08,63.8,0
0.63,1,18,0.09,31.7,0
0.56,9,9,0.12,31.8,0
0.42,4,2,0.21,41.8,0
0.5,6,18,0.12,31.2,0
0.29,8,19,0.11,58.1,0
0.45,9,10,0.05,51.0,0
0.58,7,28,0.08,44.6,0
0.4,4,25,0.13,61.7,0
0.85,4,0,0.1,19.4,1
0.58,4,10,0.18,38.1,0
0.64,6,14,0.05,42.5,0
0.13,1,5,0.23,63.2,0
0.2,9,9,0.12,58.2,0
0.26,5,13,0.18,56.2,0
0.55,7,9,0.03,54.8,0
0.45,8,1,0.1,43.6,0
0.77,9,28,0.11,40.2,0
0.42,4,21,0.03,44.0,0
